id_booking,id_agoda,titolo_booking,titolo_agoda,similarity,pair,città_booking,città_agoda,prezzo_booking,prezzo_agoda
238,440,hotel valeri,hotel valadier,0.9547619047619047,238#440, Roma, Roma ,178,206
239,292,hotel paolo ii,hotel paolo ii,1.0,239#292, Roma, Roma ,206,133
247,227,hotel hiberia,hotel hiberia,1.0,247#227, Roma, Roma ,237,228
253,503,la vite vaticana,la vite vaticana,1.0,253#503, Roma, Roma ,146,135
257,215,domus sessoriana,domus sessoriana,1.0,257#215, Roma, Roma ,268,118
262,156,aroma lifestyle hotel,aroma lifestyle hotel,1.0,262#156,, Roma ,248,207
264,245,hotel medici,hotel medici,1.0,264#245, Roma, Roma ,183,156
266,524,the b place,the b place,1.0,266#524, Roma, Roma ,166,143
267,277,lantica locanda dellorso,lantica locanda dellorso,1.0,267#277, Roma, Roma ,135,135
271,138,leonardo boutique hotel rome termini,leonardo boutique hotel rome termini,1.0,271#138, Roma, Roma ,194,185
271,385,leonardo boutique hotel rome termini,leonardo boutique hotel rome monti,0.9653297682709447,271#385, Roma, Roma ,194,188
273,296,bb ventisei scalini a trastevere,bb ventisei scalini a trastevere,1.0,273#296, Roma, Roma ,205,152
276,148,mama shelter roma,mama shelter roma,1.0,276#148, Roma, Roma ,307,307
279,79,lh hotel andreotti,lh hotel andreotti,1.0,279#79, Roma, Roma ,130,108
282,478,hotel pantheon,hotel pantheon,1.0,282#478, Roma, Roma ,384,335
287,349,navona theatre hotel,navona theatre hotel,1.0,287#349, Roma, Roma ,261,222
289,425,babuino 181 small luxury hotels of the world,babuino 181 small luxury hotels of the world,1.0,289#425, Roma, Roma ,285,242
291,73,hotel st martin by omnia hotels,hotel st martin by omnia hotels,1.0,291#73, Roma, Roma ,191,159
293,314,best western plus hotel universo,best western plus hotel universo,1.0,293#314, Roma, Roma ,265,265
297,405,interno roma,internoroma,0.9833333333333333,297#405, Roma, Roma ,123,123
301,521,atlante star hotel,atlante star hotel,1.0,301#521, Roma, Roma ,410,345
302,534,hotel teatro pace,hotel teatro pace,1.0,302#534, Roma, Roma ,213,213
303,333,the social hub rome,the social hub rome,1.0,303#333,, Roma ,148,148
306,161,hotel della conciliazione,hotel della conciliazione,1.0,306#161, Roma, Roma ,312,288
308,236,the liberty boutique hotel,the liberty boutique hotel,1.0,308#236, Roma, Roma ,354,317
310,101,best western hotel globus,best western hotel globus,1.0,310#101, Roma, Roma ,178,138
312,168,starhotels metropole,starhotels metropole,1.0,312#168, Roma, Roma ,262,246
319,18,hotel nord nuova roma,hotel nord nuova roma,1.0,319#18, Roma, Roma ,242,198
320,223,hotel smeraldo,hotel smeraldo,1.0,320#223, Roma, Roma ,222,217
329,164,hotel degli aranci,hotel degli aranci,1.0,329#164, Roma, Roma ,153,127
337,529,504 corso suites,504 corso suites roma,0.9523809523809523,337#529, Roma, Roma ,208,206
340,171,sheraton rome parco de medici,sheraton rome parco de medici,1.0,340#171, Roma, Roma ,185,185
341,130,rome marriott park hotel,rome marriott park hotel,1.0,341#130, Roma, Roma ,200,200
354,431,hotel california,hotel california,1.0,354#431, Roma, Roma ,149,149
356,402,roma 2b,roma 2b,1.0,356#402, Roma, Roma ,135,135
359,315,charme chic,charme chic,1.0,359#315, Roma, Roma ,159,131
363,523,hotel locarno,hotel locarno,1.0,363#523, Roma, Roma ,599,500
370,137,cardinal hotel st peter,cardinal st peter hotel,0.9565217391304348,370#137, Roma, Roma ,177,162
371,426,anas prime place,anas prime place,1.0,371#426, Roma, Roma ,162,162
373,430,ibis styles roma aurelia,ibis styles roma aurelia,1.0,373#430, Roma, Roma ,130,130
374,522,arch rome suites,arch rome suites,1.0,374#522, Roma, Roma ,251,225
380,210,maison spagna suites,maison spagna suite,0.99,380#210, Roma, Roma ,194,165
381,416,residenza paolo vi,residenza paolo vi,1.0,381#416, Roma, Roma ,502,427
392,172,navona palace luxury inn,navona palace luxury inn,1.0,392#172, Roma, Roma ,241,151
404,237,best western hotel astrid,best western hotel astrid,1.0,404#237, Roma, Roma ,124,123
406,202,hotel navona,hotel navona,1.0,406#202, Roma, Roma ,230,178
