id_booking,id_agoda,titolo_booking,titolo_agoda,città_booking,città_agoda,zona_booking,zona_agoda,name_similarity,città_similarity,pair,prezzo_booking,prezzo_agoda
867,660,terni in centro,terni in centro,terni,terni,Terni,Terni,1.0,1.0,867#660,124,124
549,158,nh roma villa carpegna,nh roma villa carpegna,roma,roma,Aurelio,Trastevere,1.0,1.0,549#158,194,194
552,238,villa eur parco dei pini,villa eur parco dei pini,roma,roma,Eur,Eur e Garbatella,1.0,1.0,552#238,145,129
559,259,hotel villa pinciana,hotel villa pinciana,roma,roma,Via Veneto,Via Veneto,1.0,1.0,559#259,253,165
560,490,innsiderome,innsiderome,roma,roma,Aurelio,Città del Vaticano,1.0,1.0,560#490,158,139
562,128,relais monti,relais monti,roma,roma,Rione Monti,Monti,1.0,1.0,562#128,252,214
564,318,ac much more ii,ac much more ii,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,564#318,188,188
3,391,astoria golden gate,astoria golden gate,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,3#391,110,110
565,367,hotel labelle,hotel labelle,roma,roma,Rione Monti,Colosseo e Foro Romano,1.0,1.0,565#367,164,164
567,145,grand hotel tiberio,grand hotel tiberio,roma,roma,Trionfale,Trionfale,1.0,1.0,567#145,141,114
568,134,argentina residenza style hotel,argentina residenza style hotel,roma,roma,Pantheon,Pantheon,1.0,1.0,568#134,260,208
570,434,una hotels empire roma,una hotels empire roma,roma,roma,Via Veneto,Via Veneto,1.0,1.0,570#434,201,165
574,118,urban garden hotel,urban garden hotel,roma,roma,Tiburtino,Roma Est,1.0,1.0,574#118,171,154
631,438,gasometer urban suites,gasometer urban suites,roma,roma,Ostiense,Eur e Garbatella,1.0,1.0,631#438,209,209
577,225,hotel arcangelo,hotel arcangelo,roma,roma,Vaticano Prati,Città del Vaticano,1.0,1.0,577#225,215,153
581,512,alpi hotel,alpi hotel,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,581#512,204,204
584,365,hotel julia,hotel julia,roma,roma,Trevi,Fontana di Trevi,1.0,1.0,584#365,155,128
586,360,meininger roma termini,meininger roma termini,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,586#360,159,159
588,493,hotel canada bw premier collection,hotel canada bw premier collection,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,588#493,177,177
594,76,bv hotel oly,bv hotel oly,roma,roma,Ostiense,Eur e Garbatella,1.0,1.0,594#76,189,130
595,306,radio hotel,radio hotel,roma,roma,Portuense,Eur e Garbatella,1.0,1.0,595#306,107,107
