,titolo,recensione_voto_numerico,recensione_voto_parola,numero_recensioni,date,permanenza,prezzo,distanza_centro,indirizzo,stelle,valutazione_booking,descrizione_camera,configurazione_camera,descrizione_unprocessed
168,Hotel Residenza In Farnese,"8,0",Ottimo ,1.920 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 285,1 km dal centro,"Piazza Navona, Roma",4.0,,Camera Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Doppia con Letti Singoli2 letti singoliColazione inclusaCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaRestano solo 2 camere a questo prezzo sul nostro sito
169,Ibis Roma Fiera,"7,6",Buono ,4.699 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 108,11 km dal centro,"Magliana Vecchia, Roma",3.0,,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeRestano solo 7 camere a questo prezzo sul nostro sito
170,Al Viminale Hill Inn & Hotel,"8,5",Ottimo ,577 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 192,"1,2 km dal centro","Stazione Termini, Roma",3.0,,Camera Deluxe Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Deluxe Matrimoniale/Doppia con Letti SingoliVari tipi di lettoCancellazione gratuitaRestano solo 4 camere a questo prezzo sul nostro sito
171,Splendor Suite Rome - Suites & Apartments,"8,5",Ottimo ,344 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 248,"0,9 km dal centro","Spagna, Roma",,4.0,Camera Matrimoniale Classic,Configurazione camera non disponibile,Camera Matrimoniale Classic1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
172,Residenza Pierret,"9,4",Eccellente ,265 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 266,"1,1 km dal centro","Spagna, Roma",,4.0,Camera Deluxe ,Configurazione camera non disponibile,Camera Deluxe 1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
173,Hotel The Corner Roma,"8,6",Favoloso ,315 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 282,"1,7 km dal centro","Aventino, Roma",4.0,,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimonialeColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
174,Maison Tritone,"9,4",Eccellente ,686 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 321,"0,9 km dal centro","Trevi, Roma",,4.0,Camera Tripla Deluxe ,Configurazione camera non disponibile,"Camera Tripla Deluxe 2 letti (1 singolo, 1 matrimoniale grande)Colazione inclusaRestano solo 2 camere a questo prezzo sul nostro sito"
175,Scipioni Best Rooms,"8,9",Favoloso ,441 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 175,"2,3 km dal centro","Vaticano Prati, Roma",,4.0,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto matrimoniale alla franceseResta solo 1 camera a questo prezzo sul nostro sito
176,JOIVY Cavour Luxury Apartments,"8,9",Favoloso ,533 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 298,"0,9 km dal centro","Rione Monti, Roma",,4.0,Appartamento con 1 Camera da Letto,Intero appartamento • 1 camera da letto • 1 bagno • 1 cucina • 50 m²,Appartamento con 1 Camera da LettoIntero appartamento • 1 camera da letto • 1 bagno • 1 cucina • 50 m²1 letto matrimonialeNe restano solo 4 a questo prezzo sul nostro sito
177,Hotel Positano 2,"7,3",Buono ,1.775 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 98,"1,8 km dal centro","Stazione Termini, Roma",2.0,,Camera Matrimoniale Deluxe,Configurazione camera non disponibile,Camera Matrimoniale Deluxe1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
178,Hotel Splendide Royal - The Leading Hotels of the World,"8,8",Favoloso ,566 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 598,"1,4 km dal centro","Via Veneto, Roma",5.0,, Camera Superior ,Configurazione camera non disponibile, Camera Superior 1 letto matrimoniale alla franceseRestano solo 3 camere a questo prezzo sul nostro sito
179,Luxury Boutique Hotel,"9,4",Eccellente ,1.103 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 152,3 km dal centro,"Vaticano Prati, Roma",,4.0,Camera Matrimoniale Deluxe con Balcone,Configurazione camera non disponibile,Camera Matrimoniale Deluxe con Balcone1 letto matrimonialeColazione inclusaRestano solo 3 camere a questo prezzo sul nostro sito
180,StarHome Navona,"8,8",Favoloso ,510 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 210,"0,9 km dal centro","Piazza Navona, Roma",,4.0,Camera Matrimoniale Economy,Configurazione camera non disponibile,Camera Matrimoniale Economy1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
181,Hotel Mecenate Palace,"8,6",Favoloso ,2.115 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 271,"1,4 km dal centro","Stazione Termini, Roma",4.0,,Suite Presidenziale,Suite privata • 1 camera da letto • 1 zona giorno • 1 bagno • 37 m²,"Suite PresidenzialeSuite privata • 1 camera da letto • 1 zona giorno • 1 bagno • 37 m²2 letti (1 divano letto, 1 matrimoniale)Colazione inclusaNe resta solo 1 a questo prezzo sul nostro sito"
182,The First Musica - Preferred Hotels & Resorts,"9,4",Eccellente ,622 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 537,"1,5 km dal centro","Vaticano Prati, Roma",5.0,,Camera Matrimoniale Prestige,Configurazione camera non disponibile,Camera Matrimoniale Prestige1 letto matrimonialeRestano solo 4 camere a questo prezzo sul nostro sito
183,Casa I Cappuccini,"8,7",Favoloso ,1.284 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 164,"1,1 km dal centro","Via Veneto, Roma",,,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoli
184,Orange Garden Guest House,"8,2",Ottimo ,801 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 287,2 km dal centro,"Vaticano Prati, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
185,Xenia Guest House,"9,3",Eccellente ,665 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 224,"0,7 km dal centro","Piazza Navona, Roma",,4.0,Camera Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Doppia con Letti SingoliVari tipi di lettoResta solo 1 camera a questo prezzo sul nostro sito
186,Musa Rooms Roma,"7,8",Buono ,332 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 164,"1,8 km dal centro","Stazione Termini, Roma",,3.0,Camera Matrimoniale con Bagno Privato Esterno ,Configurazione camera non disponibile,Camera Matrimoniale con Bagno Privato Esterno 1 letto matrimoniale alla franceseResta solo 1 camera a questo prezzo sul nostro sito
187,Albani Hotel Roma,"7,9",Buono ,1.345 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 150,"2,5 km dal centro",Roma,4.0,,Camera Classic Matrimoniale/Doppia con Letti Singoli ,Configurazione camera non disponibile,Camera Classic Matrimoniale/Doppia con Letti Singoli 1 letto matrimoniale
188,Nazionale Palace Suites,"8,4",Ottimo ,319 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 206,"1,1 km dal centro","Stazione Termini, Roma",,4.0,Camera Matrimoniale Piccola,Configurazione camera non disponibile,Camera Matrimoniale Piccola1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
189,Colosseo Guest House,"8,2",Ottimo ,552 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 184,"1,3 km dal centro","Rione Monti, Roma",,4.0,Camera Deluxe ,Configurazione camera non disponibile,Camera Deluxe Vari tipi di lettoRestano solo 2 camere a questo prezzo sul nostro sito
190,Habitat 42 Roman Stay,"9,1",Eccellente ,8 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 155,"2,5 km dal centro","Vaticano Prati, Roma",,4.0,Camera Matrimoniale con Bagno Privato,Configurazione camera non disponibile,Camera Matrimoniale con Bagno Privato1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
191,PRIVATE LUXURY FONTANA DI TREVI,"8,9",Favoloso ,12 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 366,"0,7 km dal centro","Trevi, Roma",,4.0,Appartamento Superior con 2 Camere da Letto,Intero appartamento • 2 camere da letto • 1 zona giorno • 2 bagni • 1 cucina • 100 m²,"Appartamento Superior con 2 Camere da LettoIntero appartamento • 2 camere da letto • 1 zona giorno • 2 bagni • 1 cucina • 100 m²4 letti (1 matrimoniale grande, 1 divano letto, 1 matrimoniale, 1 futon)"
192,Boho Suites - Rome Colosseum,"9,1",Eccellente ,191 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 251,"1,1 km dal centro","Rione Monti, Roma",,4.0,Camera Matrimoniale Deluxe,Configurazione camera non disponibile,Camera Matrimoniale Deluxe1 letto matrimoniale largeRestano solo 2 camere a questo prezzo sul nostro sito
193,Hotel 87 eighty-seven - Maison d'Art Collection,"7,9",Buono ,2.810 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 251,"0,9 km dal centro","Spagna, Roma",4.0,,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto matrimonialeRestano solo 4 camere a questo prezzo sul nostro sito
194,Vatication B&B,"9,8",Eccezionale ,1.035 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 147,"2,4 km dal centro","Vaticano Prati, Roma",,4.0,Camera Matrimoniale con Bagno Privato,Configurazione camera non disponibile,Camera Matrimoniale con Bagno PrivatoLetti: 1 matrimoniale o 2 singoliColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
195,Muzio 48 Private Suites by Premium Suites Collection,"9,1",Eccellente ,810 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 247,"1,4 km dal centro","Vaticano Prati, Roma",,4.0,Camera Deluxe ,Configurazione camera non disponibile,Camera Deluxe 1 letto matrimonialeRestano solo 3 camere a questo prezzo sul nostro sito
196,Giuditta in Trastevere,"9,1",Eccellente ,463 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 275,1 km dal centro,"Trastevere, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimoniale alla franceseColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
197,Hotel Ripa Roma,"8,2",Ottimo ,2.741 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 179,"1,8 km dal centro","Gianicolense, Roma",4.0,,Camera Matrimoniale Standard con Balcone ,Configurazione camera non disponibile,Camera Matrimoniale Standard con Balcone Letti: 1 matrimoniale o 2 singoliColazione inclusaRestano solo 2 camere a questo prezzo sul nostro sito
198,Affittacamere Boncompagni Suite,"9,0",Eccellente ,486 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 154,"1,8 km dal centro","Centro di Roma, Roma",,4.0,Camera Economy Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Economy Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
199,Hotel Lunetta,"9,2",Eccellente ,808 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 424,"0,7 km dal centro","Piazza Navona, Roma",4.0,,Camera Matrimoniale Classic,Configurazione camera non disponibile,Camera Matrimoniale Classic1 letto matrimonialeColazione inclusaCancellazione gratuitaRestano solo 7 camere a questo prezzo sul nostro sito
200,Hotel Windrose,"7,9",Buono ,1.495 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 228,"1,7 km dal centro","Stazione Termini, Roma",3.0,,Camera Matrimoniale Smart con Letto a una Piazza e Mezza,Configurazione camera non disponibile,Camera Matrimoniale Smart con Letto a una Piazza e Mezza1 letto matrimoniale alla franceseColazione inclusaRestano solo 7 camere a questo prezzo sul nostro sito
201,JC Hotel,"8,4",Ottimo ,1.080 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 170,"10,8 km dal centro","Fonte Ostiense, Roma",4.0,,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
202,My Spanishsteps,"9,3",Eccellente ,297 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 258,"1,1 km dal centro","Spagna, Roma",,4.0,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimoniale largeResta solo 1 camera a questo prezzo sul nostro sito
203,Domus 213 Guest House,"9,1",Eccellente ,195 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 218,3 km dal centro,"Villa Borghese/Parioli, Roma",,4.0,Camera Matrimoniale Deluxe,Configurazione camera non disponibile,Camera Matrimoniale Deluxe1 letto matrimonialeRestano solo 3 camere a questo prezzo sul nostro sito
204,Ibis Styles Roma Eur,"8,0",Ottimo ,3.546 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 178,"7,6 km dal centro","Eur, Roma",4.0,,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimoniale large
205,Generator Rome,"7,9",Buono ,4.052 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 173,"1,9 km dal centro","Stazione Termini, Roma",,,Camera Deluxe Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Deluxe Doppia con Letti Singoli2 letti singoliRestano solo 7 camere a questo prezzo sul nostro sito
206,Mascherino Suites,"8,5",Ottimo ,262 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 203,"2,2 km dal centro","Vaticano Prati, Roma",,4.0,Camera King Deluxe ,Configurazione camera non disponibile,Camera King Deluxe 1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
207,Artemis,"9,2",Eccellente ,933 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 218,"1,1 km dal centro","Stazione Termini, Roma",,4.0,Camera Matrimoniale Economy,Configurazione camera non disponibile,Camera Matrimoniale Economy1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
208,"Rome Plaza Suites, Luxury Collection","9,0",Eccellente ,381 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 300,"1,9 km dal centro","Villa Borghese/Parioli, Roma",,4.0,Camera Matrimoniale Deluxe (2 Adulti + 1 Bambino) ,Configurazione camera non disponibile,"Camera Matrimoniale Deluxe (2 Adulti + 1 Bambino) 2 letti (1 divano letto, 1 matrimoniale)Resta solo 1 camera a questo prezzo sul nostro sito"
209,San Giovanni Retreat,"9,3",Eccellente ,279 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 210,"2,4 km dal centro","Stazione Termini, Roma",,4.0,Camera Queen con Balcone,Configurazione camera non disponibile,Camera Queen con Balcone1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
210,Catone Luxury Rooms,"9,5",Eccezionale ,532 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 181,"2,3 km dal centro","Vaticano Prati, Roma",,4.0,Camera King Standard,Configurazione camera non disponibile,Camera King Standard1 letto matrimoniale largeColazione inclusaRestano solo 3 camere a questo prezzo sul nostro sito
211,Via Milano 52,"9,0",Eccellente ,612 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 162,"0,7 km dal centro","Rione Monti, Roma",,4.0,Camera Queen ,Configurazione camera non disponibile,Camera Queen 1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
212,Residenza Piranesi Boutique Hotel,"9,1",Eccellente ,1.233 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 376,1 km dal centro,"Spagna, Roma",4.0,,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto matrimoniale alla franceseResta solo 1 camera a questo prezzo sul nostro sito
213,Hotel Croce Di Malta,"8,0",Ottimo ,2.235 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 165,1 km dal centro,"Spagna, Roma",2.0,,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
214,Trastevere New Luxury Rooms,"9,5",Eccezionale ,262 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 181,"1,9 km dal centro","Gianicolense, Roma",,4.0,Camera Queen Superior,Configurazione camera non disponibile,Camera Queen Superior1 letto matrimonialeColazione inclusaRestano solo 3 camere a questo prezzo sul nostro sito
215,Vittoriano Luxury Suites,"9,1",Eccellente ,1.126 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 274,350 m dal centro,"Pantheon, Roma",,4.0,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto matrimonialeColazione inclusaCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
216,Hotel Giorgina,"7,5",Buono ,3.478 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 193,"1,5 km dal centro","Stazione Termini, Roma",2.0,,Camera Quadrupla,Configurazione camera non disponibile,Camera QuadruplaVari tipi di lettoColazione inclusaCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
217,Navona Street Hotel,"8,8",Favoloso ,694 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 249,"1,3 km dal centro","Piazza Navona, Roma",3.0,,Camera Standard Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Standard Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliColazione inclusaRestano solo 2 camere a questo prezzo sul nostro sito
218,Home D'elite Navona,"8,2",Ottimo ,25 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 422,"1,1 km dal centro","Piazza Navona, Roma",,4.0,Appartamento ,Intero appartamento • 2 camere da letto • 1 zona giorno • 2 bagni • 1 cucina • 85 m²,"Appartamento Intero appartamento • 2 camere da letto • 1 zona giorno • 2 bagni • 1 cucina • 85 m²3 letti (1 matrimoniale alla francese, 1 divano letto, 1 matrimoniale) • Culla gratuita sempre disponibileNe resta solo 1 a questo prezzo sul nostro sito"
219,Augusta Lucilla Palace,"8,6",Favoloso ,4.924 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 201,"1,3 km dal centro","Stazione Termini, Roma",4.0,,Camera Matrimoniale Piccola,Configurazione camera non disponibile,Camera Matrimoniale Piccola1 letto matrimoniale alla francese
220,Holiday a San Pietro,"8,7",Favoloso ,595 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 162,"2,4 km dal centro","Aurelio, Roma",,4.0,Camera Matrimoniale Economy,Configurazione camera non disponibile,Camera Matrimoniale Economy1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
221,Inn Rome Rooms & Suites,"8,4",Ottimo ,920 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 196,"1,2 km dal centro","Piazza Navona, Roma",,4.0,Camera Standard Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Standard Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliResta solo 1 camera a questo prezzo sul nostro sito
222,Hotel Villa Glori,"8,5",Ottimo ,2.275 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 802,"3,4 km dal centro","Villa Borghese/Parioli, Roma",4.0,,Camera Matrimoniale Basic,Configurazione camera non disponibile,Camera Matrimoniale Basic1 letto matrimoniale alla franceseColazione inclusaCancellazione gratuitaRestano solo 4 camere a questo prezzo sul nostro sito
223,Alis Laura guest house - 150m from piazza bologna metro and 10 minutes from the Colosseum,"9,0",Eccellente ,549 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 377,"3,5 km dal centro","Nomentano, Roma",,4.0,Camera Matrimoniale con Balcone,Configurazione camera non disponibile,Camera Matrimoniale con Balcone1 letto matrimonialeColazione inclusaRestano solo 3 camere a questo prezzo sul nostro sito
224,Navona Central Suites,"8,6",Favoloso ,852 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 246,"0,9 km dal centro","Spagna, Roma",,4.0,Camera Queen con Sauna a Vapore,Configurazione camera non disponibile,Camera Queen con Sauna a Vapore1 letto matrimoniale alla franceseResta solo 1 camera a questo prezzo sul nostro sito
