,titolo_booking,prezzo_booking,indirizzo_booking,città_booking,numero_recensioni_booking,valutazione_booking
423,arti delle residenza,214,trastevere,Roma,425.0,4.0
424,california hotel,149,stazione termini,Roma,4.0,
425,guest house rhome,184,stazione termini,Roma,807.0,4.0
426,2b,135,centro,Roma,866.0,4.0
427,incentrum,210,spagna,Roma,686.0,4.0
428,luxury rooms teulada,152,,Roma,110.0,4.0
429,charme chic,159,spagna,Roma,592.0,4.0
430,by chloe suites,211,trevi,Roma,461.0,3.0
431,home mamas,299,navona,Roma,332.0,4.0
432,dreams sweet,181,monti,Roma,625.0,4.0
433,hotel locarno,599,spagna,Roma,734.0,
434,lilla musei suites vaticani,177,vaticano prati,Roma,67.0,4.0
435,deste hotel,191,stazione termini,Roma,3.0,
436,condotti palace,531,spagna,Roma,995.0,
437,suitelifetrevi,299,trevi,Roma,714.0,4.0
438,bang big hotel,139,stazione termini,Roma,1.0,
439,house luiza vatican,131,vaticano prati,Roma,197.0,4.0
440,cardinal hotel peter st,177,aurelio,Roma,3.0,
441,anas place prime,162,stazione termini,Roma,1.0,3.0
442,24 close collection collina suites to veneto via vivilo,127,centro,Roma,1.0,4.0
443,aurelia ibis styles,130,aurelio,Roma,1.0,
444,arch suites,251,pantheon,Roma,1.0,4.0
445,apartment luxe piazza venezia,311,trevi,Roma,6.0,4.0
446,hotel seiler,168,stazione termini,Roma,2.0,
447,1 appartamento casa e magenta moro per vacanze,363,trastevere,Roma,149.0,4.0
448,essence hotel navona,161,navona,Roma,1.0,
449,hub pantheon,250,pantheon,Roma,439.0,4.0
450,maison spagna suites,194,spagna,Roma,652.0,4.0
451,paolo residenza vi,502,vaticano prati,Roma,868.0,
452,academy creative hotel mytale,266,monti,Roma,732.0,
453,daplace in la mongolfiera navona rooms,178,navona,Roma,745.0,4.0
454,art ca collection domus spagna suites,242,spagna,Roma,558.0,4.0
455,yellowsquare,209,stazione termini,Roma,2.0,
456,b boutique hotel saint stb,293,via veneto,Roma,656.0,
457,pura vida,127,vaticano prati,Roma,371.0,4.0
458,caruso palazzo,323,trevi,Roma,252.0,
459,eur novotel,192,torrino,Roma,2.0,
460,ottaviano rooms smart,126,vaticano prati,Roma,711.0,4.0
461,ave residenza,156,navona,Roma,562.0,4.0
462,inn luxury navona palace,241,navona,Roma,551.0,4.0
463,comfort prati,131,vaticano prati,Roma,837.0,4.0
464,lion luxury rooms,223,trastevere,Roma,353.0,4.0
465,gemelli hotel,137,,Roma,1.0,
466,giubbonari suites,208,navona,Roma,514.0,4.0
467,basilica hotel,156,monti,Roma,2.0,
468,experience inn luxury stay suites,205,vaticano prati,Roma,152.0,4.0
469,house iv,305,navona,Roma,231.0,4.0
470,guest house navona secret stay,192,navona,Roma,268.0,3.0
471,19 hotels luxury margutta of small the world,560,spagna,Roma,406.0,
472,adriatic hotel,139,vaticano prati,Roma,1.0,
473,parlamento relais,155,spagna,Roma,619.0,4.0
474,astrid best hotel western,124,villa borghese/parioli,Roma,2.0,
475,navona terrazze,218,navona,Roma,857.0,4.0
476,hotel navona,230,pantheon,Roma,2.0,
477,julia luxury suite,145,stazione termini,Roma,348.0,4.0
478,hotel in leons place,299,centro,Roma,1.0,
479,imperiale top,134,trastevere,Roma,1.0,3.0
480,by collection premium private suites suites trevi,247,trevi,Roma,498.0,4.0
481,navona stay,232,navona,Roma,497.0,
482,contilia hotel,166,stazione termini,Roma,1.0,
483,ah,88,,Roma,899.0,
484,campo24 guesthouse,133,navona,Roma,413.0,4.0
485,hostel trastevere,201,gianicolense,Roma,3.0,
486,hotels luxury of palm small suites the world,562,monti,Roma,352.0,4.0
487,inn nakissa,216,monti,Roma,1.0,4.0
488,palazzo venere,454,spagna,Roma,294.0,
489,britannia hotel the,236,stazione termini,Roma,1.0,
490,palazzo ripetta,592,spagna,Roma,440.0,
491,hotel palace pineta,139,,Roma,1.0,
492,hotel santangelo,144,vaticano prati,Roma,5.0,
493,luxurious ripetta suites,149,spagna,Roma,1.0,4.0
494,giuliana rooftop terrazza,134,vaticano prati,Roma,348.0,4.0
495,albergo chiara hotel santa,233,pantheon,Roma,1.0,
496,house town,196,trevi,Roma,792.0,4.0
497,apartments collection dart h77 maison,244,monti,Roma,66.0,3.0
498,floris hotel,250,stazione termini,Roma,2.0,
499,margherita suites,169,vaticano prati,Roma,444.0,3.0
500,77 collection dart hotel maison seventyseven,228,monti,Roma,3.0,
501,boutique croce della suites,248,spagna,Roma,261.0,4.0
502,garden suites vittoria,126,stazione termini,Roma,327.0,4.0
503,hotel valadier,249,spagna,Roma,2.0,
504,apartment suite trastevere,241,trastevere,Roma,49.0,4.0
505,griffe hotel la,210,stazione termini,Roma,5.0,
506,first navona rooms,189,navona,Roma,803.0,4.0
507,campo de fiori house town,188,navona,Roma,391.0,4.0
508,arena daplace house,147,colosseo,Roma,654.0,4.0
509,giulia relais,179,navona,Roma,887.0,4.0
510,best hotel premier royal santina western,231,stazione termini,Roma,3.0,
511,centro relais,234,trevi,Roma,832.0,4.0
512,mood44,548,spagna,Roma,488.0,4.0
513,de lobelisque luxe maison,157,spagna,Roma,665.0,4.0
514,magikrooms topaz,150,vaticano prati,Roma,257.0,4.0
515,jadore monic,115,nomentano,Roma,1.0,4.0
516,hotel lazzari,100,stazione termini,Roma,1.0,
517,hotel twentyone,239,vaticano prati,Roma,3.0,
518,everest hotel inn,170,stazione termini,Roma,1.0,
519,beplace holy see,193,aurelio,Roma,287.0,4.0
